epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,525.1867,448.48846,531.6421,452.28207,830.9046,1288.7823,147.7
1,506.83118,472.2379,520.7313,475.05377,751.6654,1327.8905,143.29
2,522.9692,447.7596,539.74384,452.94446,820.8543,1281.4393,143.86
3,561.42896,415.49066,575.3149,423.56207,922.9791,1194.3236,147.9
4,619.5209,364.60147,620.22955,376.4862,1116.3254,1089.4971,143.86
5,606.1531,373.53552,612.0217,387.3074,1059.5819,1118.659,143.68
6,618.0304,360.6179,619.7621,377.6327,1101.57,1115.0667,147.62
7,606.33234,370.5747,610.4408,385.8792,1078.038,1140.9629,147.89
8,591.9166,382.1706,599.46466,396.02594,1036.7676,1163.4684,143.85
9,589.93945,380.3117,598.38245,395.45718,1032.1722,1159.5575,144.51
