epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,557.06104,431.5639,562.8697,435.719,926.5881,1243.2179,199.63
1,547.1354,430.9017,565.69,436.8006,883.4509,1241.2479,196.78
2,592.3639,372.65756,608.91406,389.3084,1053.1858,1131.6505,197.41
3,624.11163,350.82,624.70905,370.84702,1144.0153,1101.204,216.17
4,615.0506,358.18774,618.5068,377.078,1120.2405,1113.3934,205.4
5,576.5353,377.98694,595.2263,398.14896,1012.1879,1161.8458,204.21
6,584.98236,375.60025,600.4287,394.3988,1029.9579,1147.865,193.25
7,580.18427,381.2365,596.2976,398.02777,1016.9862,1158.1362,198.96
8,602.187,363.1603,610.0163,382.5686,1070.4043,1123.0038,198.26
9,621.1921,347.34753,622.7035,370.32977,1118.5109,1095.5756,198.32
10,624.652,344.1992,626.18677,366.87833,1135.1534,1086.503,193.1
11,637.0143,337.58035,634.1044,361.4183,1149.7711,1070.6864,188.32
12,655.5036,322.29614,643.8914,349.98306,1199.6003,1043.3033,188.8
13,655.72974,323.06592,644.9906,349.20633,1205.527,1039.9211,188.73
14,664.1024,317.84937,649.8858,344.65985,1223.2876,1031.0889,189.68
15,655.4058,324.27048,645.2917,349.8807,1206.5359,1044.0881,187.28
16,677.63916,307.73575,658.934,336.26633,1265.3313,1011.2658,188.33
17,677.5926,309.3198,659.10236,337.38504,1258.4695,1013.80115,187.12
18,697.04944,296.8607,667.6175,326.82724,1319.0994,988.4829,189.36
19,698.1198,296.55212,667.5508,327.28256,1311.5732,990.3995,188.14
20,708.0494,288.35205,674.6157,320.5942,1342.8154,972.9531,188.25
21,704.5819,293.5857,670.7527,324.01373,1337.3976,982.6601,187.93
22,723.5683,278.5105,682.91724,311.83862,1394.0634,948.6814,187.07
23,730.71204,273.2306,687.5188,305.99567,1430.9707,938.6725,188.33
24,745.95294,267.51303,695.0742,301.27905,1464.8721,920.92755,188.2
25,744.9562,265.5314,694.7615,300.4294,1467.7593,924.70465,187.53
26,758.6697,258.25708,701.2852,294.15442,1500.3757,907.98987,187.21
27,751.07166,262.43695,698.02954,297.07254,1480.1632,915.39636,187.56
28,772.9533,249.00363,710.12695,286.26328,1550.2781,884.3303,189.45
29,772.404,250.77922,709.6826,286.49042,1556.5497,885.5387,188.73
30,764.753,254.75208,705.3069,290.2416,1527.539,893.9068,186.41
31,782.9563,243.89067,714.70544,280.21344,1588.4269,869.569,187.06
32,788.36694,241.37653,716.89484,279.1829,1590.0431,869.97363,187.74
33,791.9736,241.50989,719.70807,276.96835,1616.0139,861.72406,186.46
34,805.4771,237.69781,724.86053,273.3769,1637.3767,847.6541,189.18
35,793.95807,241.99907,719.1396,277.7446,1607.6549,859.92084,198.76
36,792.79456,241.06993,718.7833,277.7768,1621.2664,866.0206,200.36
37,784.1887,245.27138,713.9954,282.889,1570.6099,879.49457,196.23
38,781.76843,249.01419,713.31555,283.65665,1577.4286,875.8063,195.96
39,781.0849,250.04578,711.9041,285.07294,1572.5338,878.278,193.77
