epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,878.9348,736.4983,877.7956,742.1315,1359.5765,2094.672,243.18
1,836.664,769.25183,850.3049,774.5519,1231.3959,2163.7456,236.04
2,830.5444,767.9172,844.32324,773.0533,1233.1338,2166.889,235.89
3,833.95264,758.6713,858.42194,765.61194,1254.5609,2139.2378,233.88
4,837.1828,741.89557,871.22504,750.2477,1305.6361,2110.0916,236.61
5,841.4015,727.25385,882.92804,739.4651,1339.767,2087.73,235.0
6,846.8512,719.19244,893.8254,729.6318,1363.1342,2055.6482,233.12
7,841.5442,713.76605,897.04034,726.372,1363.0984,2043.3937,225.91
8,832.58856,718.869,892.79724,731.7837,1344.0625,2057.3306,231.75
9,827.32245,724.8578,885.77795,737.86005,1327.8224,2076.1963,239.43
10,824.5548,730.1093,882.2035,743.5055,1312.5219,2089.6375,229.38
11,822.5342,734.41504,879.4077,746.03827,1306.5797,2097.321,226.78
12,818.60864,736.8,875.8748,749.3713,1297.0648,2106.482,226.24
13,821.215,735.5217,877.4747,748.14044,1299.0919,2101.2764,226.33
14,820.2893,735.642,877.4018,748.1025,1299.3177,2101.4072,225.99
15,822.6051,734.20496,879.56586,746.3801,1304.6345,2097.192,225.41
16,819.37,732.2392,878.94574,745.7768,1304.7871,2094.8962,233.08
17,821.3467,734.12,879.0446,746.83655,1302.7683,2097.0264,236.29
18,820.28876,733.29034,878.3364,746.56476,1303.532,2097.1194,231.02
19,821.3578,731.3105,879.85504,745.0095,1307.3369,2093.8005,238.84
20,822.6411,731.5137,880.5218,744.46075,1309.791,2092.1167,241.04
21,821.7574,731.8214,879.3901,744.9194,1308.3823,2095.4014,234.24
22,823.83734,728.1644,882.8756,741.5407,1317.2886,2084.8276,234.48
23,822.60986,727.13947,883.16205,740.59357,1321.1539,2085.4392,229.03
24,825.9783,726.43286,884.337,739.9194,1323.4625,2081.3179,241.19
25,827.1425,723.6892,886.09985,738.736,1327.599,2078.6396,245.53
26,829.0674,723.7969,886.9332,738.0124,1329.129,2076.0679,236.74
27,828.0292,722.6356,887.31586,736.77,1333.9161,2076.4978,239.78
28,830.40765,721.6406,887.9683,736.6578,1334.3507,2075.8865,241.75
29,831.1683,720.8893,888.09656,735.6418,1337.8722,2074.8813,240.94
30,830.8099,721.29346,888.3586,736.2701,1336.5802,2075.277,242.02
31,832.8445,721.6711,889.9081,734.4784,1341.2891,2071.0247,241.86
32,833.3674,720.08905,889.31964,734.7794,1341.407,2074.6865,236.17
33,834.9744,721.68787,889.2224,735.45355,1340.8999,2073.9229,233.64
34,835.75073,720.6053,889.6296,734.78143,1342.6405,2073.1438,236.3
35,836.6644,720.38025,890.22107,734.4077,1344.121,2072.5432,232.62
36,836.81976,719.8273,889.42896,734.45215,1344.1476,2072.8118,231.22
37,840.4339,717.3706,892.90344,731.5194,1354.647,2067.3342,230.5
38,840.91003,717.83374,892.3792,732.2595,1351.5461,2068.1755,231.48
39,839.24445,718.8671,890.8129,733.63336,1348.4891,2072.913,234.25
40,842.78687,717.732,893.9524,730.76776,1356.0505,2063.8894,235.91
41,842.6067,714.05286,894.05835,729.1457,1361.6357,2063.7092,227.74
42,844.1076,715.7032,894.5304,730.3549,1358.999,2063.6628,224.77
43,846.5945,713.45654,896.037,728.37854,1365.3519,2059.976,224.09
44,847.32074,712.8941,896.7866,727.8294,1368.7614,2060.6204,226.21
