epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,886.7429,728.82104,894.91113,737.07544,1374.084,2073.053,281.69
1,833.1859,742.7788,857.794,754.28973,1287.8729,2137.568,282.63
2,840.4996,727.4064,884.16583,742.2515,1327.8606,2092.9236,278.49
3,831.29016,726.7417,884.79175,741.21906,1343.0837,2096.8625,277.37
4,828.5334,724.38,884.7769,739.9455,1339.0518,2099.7942,290.31
5,829.7932,724.6836,887.367,740.0725,1333.5071,2093.4072,287.55
6,832.6887,723.1312,886.3546,739.4495,1335.5312,2091.2354,286.35
7,842.9799,718.6137,891.3815,734.2702,1352.8116,2076.4841,276.16
8,866.6436,697.04596,912.8494,714.9117,1416.7274,2027.788,285.61
9,874.46985,683.0304,925.2492,702.57056,1456.4857,2001.0992,292.63
10,882.7426,672.29346,932.6209,693.9583,1485.0013,1983.0409,289.96
11,888.91693,663.557,939.4852,687.78925,1505.5314,1970.0043,286.01
12,894.9784,656.08203,945.56775,681.1027,1528.6115,1954.7756,286.7
13,905.77374,646.8921,953.17786,672.61646,1557.9791,1934.1837,274.76
14,908.6913,642.89044,954.56335,669.93097,1568.325,1931.7356,274.81
15,911.44556,640.50305,958.46497,667.6366,1577.6482,1927.4438,283.94
16,920.4707,634.0913,964.3877,661.8312,1599.0444,1912.3882,286.79
17,921.3401,631.50323,965.2034,659.5776,1607.4958,1908.0735,279.63
18,930.4467,624.6829,970.8041,654.08795,1629.9778,1897.3137,279.12
19,936.1042,621.85645,974.1117,651.89233,1636.1196,1890.689,275.7
20,933.92053,620.5936,973.8372,650.8753,1640.5435,1891.1594,274.6
21,939.9491,616.3985,977.4187,647.7391,1652.306,1883.7126,275.04
22,946.2247,613.5143,980.56506,644.2161,1666.0192,1875.6595,274.54
23,954.59265,609.1413,984.8421,640.73315,1681.4379,1865.821,274.47
24,957.9857,603.39795,987.2001,636.4751,1700.8622,1861.4828,275.0
25,959.51776,602.4399,990.42163,635.3744,1700.9869,1852.977,274.54
26,959.80566,601.02374,989.56866,634.2468,1706.7766,1854.4083,273.56
27,965.7417,599.02277,993.10846,631.2999,1719.2728,1845.571,274.17
28,968.74817,596.1523,995.4979,630.04895,1728.3359,1843.5371,274.35
29,973.4177,594.42,997.22784,627.86456,1737.1392,1839.1321,274.49
30,977.84186,591.38635,999.2852,626.0509,1744.3806,1834.3472,274.11
31,976.2271,589.9767,1000.2287,624.5195,1747.4775,1830.5481,273.55
32,976.162,591.4311,1000.28204,624.8514,1750.8853,1832.8213,274.27
33,977.0087,591.9547,1000.07623,625.2605,1750.637,1831.247,273.96
34,981.0927,587.80493,1002.00256,622.505,1764.5853,1828.1342,274.57
35,978.79767,588.00604,1001.87836,623.21326,1758.7202,1828.1913,273.8
36,978.2456,588.798,1001.17523,624.891,1756.154,1830.9553,273.98
37,983.45337,585.40314,1003.8262,619.76904,1771.46,1823.1207,274.16
38,979.2164,589.32544,1001.61475,623.3832,1759.1904,1829.9009,274.17
39,987.4853,586.1872,1004.6928,619.915,1775.4044,1821.3778,274.62
40,991.50867,583.29767,1007.5148,617.73804,1784.2891,1814.5259,273.83
41,990.6919,584.4512,1005.888,619.16785,1780.3937,1823.1893,274.4
42,986.12756,584.3905,1005.4539,618.72144,1782.2576,1820.3519,274.25
43,995.1014,581.08453,1008.25934,617.09143,1789.5284,1814.3594,281.95
44,993.12213,581.76355,1007.1567,618.4933,1788.2657,1820.686,288.54
45,989.0027,585.07306,1005.5332,619.36584,1783.5149,1820.677,286.33
46,993.349,581.3532,1007.54767,616.9978,1792.6993,1816.0106,284.02
47,994.3949,580.1593,1008.1716,615.9394,1797.5586,1815.3191,287.61
48,994.00134,583.3453,1006.6595,617.8178,1791.583,1819.7828,287.89
49,991.45325,583.7999,1005.8046,619.2878,1787.7201,1822.462,287.56
50,990.67487,578.32434,1008.3749,616.28864,1794.8943,1814.4937,283.17
51,993.38776,581.07275,1008.28796,616.4451,1799.842,1816.2733,283.84
52,999.1732,578.8173,1009.01434,615.1517,1801.7605,1814.4375,276.6
53,998.5718,579.72986,1009.44366,616.1411,1796.1277,1814.3319,275.88
54,996.7011,579.5003,1010.2395,614.7633,1803.4425,1810.2052,275.22
55,996.3973,577.69495,1010.5963,614.1995,1806.425,1812.1545,275.06
56,999.12555,578.80853,1010.19666,615.4132,1805.1649,1812.4506,275.21
57,1002.09045,574.65314,1012.8387,611.8106,1821.3086,1806.3352,275.51
58,1005.12305,574.3128,1013.69836,610.89026,1824.8448,1802.6644,274.75
59,1001.19507,579.56256,1009.1883,615.0255,1812.6046,1816.7058,277.96
60,1001.4019,577.5557,1009.71075,614.73346,1806.9691,1814.5931,284.05
61,1000.8901,577.3575,1009.4509,615.4372,1808.2654,1814.5176,281.65
62,1005.8654,575.17474,1012.19586,613.24805,1817.1558,1810.1826,282.39
63,1004.69977,575.99817,1012.63934,612.0916,1823.2264,1806.7067,281.59
64,1002.7978,573.6382,1013.5398,612.1087,1820.2905,1806.4392,275.04
65,1009.61743,570.22986,1015.8652,609.575,1833.4276,1799.6501,296.39
66,1011.148,573.0311,1014.9182,610.07574,1832.3417,1802.2489,295.52
67,1006.71576,574.28735,1013.4422,610.80554,1829.9608,1805.4758,301.39
68,1007.67816,572.53394,1013.4222,610.108,1833.4774,1804.518,294.37
69,1004.00195,574.2722,1012.70233,612.1372,1824.166,1807.9855,291.73
70,1009.1279,570.0581,1015.6691,608.7484,1840.8077,1801.9935,301.18
71,1010.984,569.85657,1015.2783,609.26434,1835.3298,1800.596,299.15
72,1006.49396,571.21594,1013.7637,610.9382,1829.9111,1807.1196,290.78
73,1010.55206,570.61694,1015.6993,608.8342,1842.254,1800.5364,301.48
74,1000.95734,577.19434,1009.8663,614.503,1813.9707,1815.7496,299.25
75,1010.1524,573.0689,1013.69006,611.7478,1828.9683,1807.665,302.47
76,1016.0844,567.7676,1018.1015,606.33154,1855.4932,1793.8276,291.57
77,1016.5894,567.54297,1017.7403,607.5353,1851.9497,1797.0032,287.4
78,1007.7162,572.6598,1012.1722,611.93274,1829.3949,1810.6504,281.16
79,1013.4884,570.46423,1014.803,610.30853,1837.604,1804.8774,286.1
80,1014.2855,567.9519,1016.32983,607.5908,1851.0333,1801.1349,291.3
81,1017.302,570.352,1017.5769,607.8415,1842.9235,1795.0565,303.76
