epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,851.8735,757.04865,859.2706,762.76245,1292.1493,2149.0862,324.15
1,832.79474,754.12726,853.3143,764.05975,1261.7227,2154.0537,317.2
2,874.95544,695.3954,910.6424,712.48376,1431.5502,2028.9641,310.58
3,894.28326,672.6071,932.19476,694.2918,1500.065,1986.9384,323.56
4,897.3492,669.6763,936.47156,691.83954,1510.5814,1984.9596,327.37
5,909.539,655.03406,948.40857,679.7155,1550.094,1959.1718,326.27
6,908.0805,652.5611,948.46765,678.69653,1548.6001,1957.1156,331.54
7,921.02893,636.626,959.50604,665.4542,1600.3602,1926.3424,324.57
8,925.25995,631.431,963.63074,661.4269,1610.5729,1917.9567,320.39
9,931.34,628.26575,966.508,659.70355,1619.0787,1916.8934,322.11
10,933.6992,622.8072,969.43536,653.1911,1640.1818,1905.3223,324.64
11,943.6423,619.9232,975.0339,651.22156,1654.3075,1895.0377,321.87
12,945.32465,614.45233,977.87585,647.6094,1666.9327,1888.7145,315.2
13,953.11005,608.533,982.5362,641.5807,1687.9712,1875.9127,315.39
14,959.33014,605.1305,986.30054,639.32086,1698.6086,1871.5209,321.21
15,958.9477,606.4266,985.9096,639.2524,1700.5325,1868.9036,322.2
16,952.6363,613.43665,980.497,644.5314,1679.1715,1884.9309,327.87
17,956.6011,608.855,982.85236,642.1307,1690.2781,1879.3024,319.06
18,956.4238,610.9655,983.5272,642.0988,1693.422,1877.2185,310.41
19,960.3911,605.35925,987.4425,638.06256,1707.441,1870.8654,308.67
20,970.1053,597.8539,993.96326,630.28326,1735.9707,1849.153,309.56
21,962.5358,602.778,989.14105,635.5454,1719.8162,1864.9498,307.92
22,959.38165,605.5498,987.8009,637.73505,1709.522,1867.9768,309.24
23,966.9649,602.77625,988.3611,635.055,1721.837,1866.1455,309.49
24,965.81036,602.4066,990.931,633.37665,1729.151,1859.7369,320.42
25,970.32745,600.3418,994.4301,630.4219,1738.2704,1850.7166,328.46
26,974.2716,599.16956,995.96545,629.7318,1746.5481,1851.642,325.31
27,970.16486,600.6796,990.9541,632.1847,1740.2595,1858.6073,324.84
28,970.58746,603.37823,992.64087,632.425,1739.1158,1858.1462,336.38
29,979.6059,598.7072,994.36365,630.36346,1752.1853,1855.1572,338.58
30,965.8154,607.17377,988.8448,635.59344,1728.8137,1864.8851,331.86
31,965.95544,608.3558,990.00903,635.3022,1730.4534,1863.7795,331.78
32,965.4177,607.9206,988.6426,637.0487,1724.0089,1867.3865,331.25
33,965.8913,606.3915,990.049,635.2958,1731.01,1863.2427,319.71
