epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,929.2135,689.4368,931.422,694.8549,1612.7009,1997.3973,447.31
1,1067.234,559.6577,1043.7408,582.0923,2071.36,1741.6501,450.83
2,1176.3619,471.20288,1122.6102,505.14526,2424.1829,1550.0231,439.97
3,1237.7916,430.317,1158.0092,473.27908,2640.1855,1466.7758,447.75
4,1275.7455,407.8767,1178.3013,454.22992,2768.3408,1417.7074,451.8
5,1301.6135,383.2746,1194.6033,436.02618,2855.8228,1365.8846,441.4
6,1286.9645,397.8,1182.7225,448.34607,2825.169,1402.07,456.12
7,1289.181,394.04987,1184.0406,447.1875,2807.9575,1397.3851,459.58
8,1339.2281,362.05618,1212.7657,418.74637,3023.6543,1324.8302,458.96
9,1332.3344,366.69293,1208.4197,422.63403,3012.851,1337.311,458.36
10,1365.2253,339.89117,1226.674,402.87137,3152.652,1285.2617,448.4
11,1401.5306,323.1769,1245.7015,386.1877,3283.5754,1229.9084,452.5
12,1408.2983,315.13486,1250.0929,379.0637,3362.0928,1215.1517,451.58
13,1424.3744,307.72263,1258.6129,373.58118,3436.2346,1201.8076,448.23
14,1369.1357,340.37894,1225.5148,403.841,3195.3293,1290.2472,451.19
15,1343.1453,366.53247,1206.6233,422.8986,3020.0635,1334.6774,456.3
16,1347.0825,367.63315,1206.4443,425.68246,2962.321,1340.1406,457.81
17,1370.4207,353.8835,1218.8368,411.78864,3062.9465,1310.516,457.37
18,1333.6814,372.19638,1200.4633,430.4408,2940.6587,1355.7227,447.96
19,1351.4496,367.00677,1208.897,423.3544,2959.4138,1335.8712,456.13
20,1372.0343,352.31833,1217.456,415.53168,2987.8306,1318.7095,461.89
21,1313.3723,394.15668,1183.5348,449.13135,2760.688,1401.6302,465.88
22,1295.847,397.59637,1176.9305,452.32776,2734.7046,1416.0233,469.24
23,1328.9268,380.78763,1192.0499,438.5527,2824.1406,1383.1443,458.85
24,1332.0176,382.3768,1191.2825,440.11157,2798.1626,1381.379,456.17
25,1318.6688,395.92136,1183.2335,452.00815,2678.2036,1412.9353,462.02
26,1280.1578,418.22958,1161.5536,470.1671,2531.3203,1461.9607,458.47
27,1348.2615,385.05188,1192.6882,438.64856,2723.9717,1381.4133,456.24
28,1292.7698,420.33716,1160.8975,470.3796,2497.1375,1463.2225,461.21
29,1294.3607,411.5696,1164.3788,466.38977,2545.4124,1450.9578,457.01
30,1302.1941,410.04507,1167.7433,463.98492,2541.0947,1446.5325,454.27
31,1287.0972,417.20187,1160.1667,469.76196,2460.7974,1459.959,452.1
32,1314.2966,405.3546,1170.8905,460.66913,2540.721,1432.6143,451.92
33,1213.9426,461.15485,1124.2083,506.84167,2220.5652,1560.6262,454.78
34,1275.6879,424.91748,1152.657,477.54135,2397.346,1480.9575,460.96
35,1179.217,472.40094,1108.0118,519.2829,2167.5903,1601.2603,465.95
36,1107.2795,505.22263,1073.3198,551.4269,2003.7247,1688.4858,457.23
