epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,566.85974,326.69345,560.2151,328.75546,1166.1647,917.5525,126.84
1,448.13678,414.59952,448.679,415.61087,635.10077,1150.6171,123.44
2,436.59784,422.46286,437.54565,422.9044,611.7889,1172.4032,123.48
3,436.8129,418.42322,439.34265,419.2235,620.5094,1165.0486,123.28
4,432.66644,421.34695,434.94385,422.02777,613.83417,1176.8223,124.1
5,430.80725,423.381,432.58606,424.08926,607.79675,1180.1556,120.8
6,431.45303,423.1228,433.41333,423.77768,608.59485,1177.8073,128.38
7,431.84375,421.78647,434.46283,422.71982,611.50525,1175.5625,127.6
8,432.09778,419.81573,435.86578,421.09598,616.2721,1172.8612,127.93
9,430.5872,421.03836,433.87988,421.97507,614.2273,1177.7157,124.75
10,429.7836,423.71478,432.28998,424.22662,608.1765,1182.2645,120.56
11,430.10712,424.42526,431.99377,424.87634,606.4139,1182.843,124.12
12,429.3684,424.94382,431.2272,425.37573,605.14307,1184.6179,121.4
13,429.58344,425.36533,431.03503,426.03607,603.47577,1185.5452,123.72
14,429.86322,425.34824,431.2232,426.08133,603.3518,1185.1577,125.48
15,429.8457,425.61453,431.10034,426.35522,602.5001,1185.3895,121.24
16,429.9713,426.03513,431.2253,426.45767,602.2291,1185.1335,124.27
17,429.94012,425.4411,431.1137,426.1994,602.78955,1184.7632,128.38
18,429.5835,425.8295,430.88312,426.4142,602.238,1185.5281,129.0
19,430.1461,425.84848,431.5117,426.3615,602.3232,1184.0792,128.02
20,429.93604,425.4221,431.31598,426.06683,602.97595,1183.9382,127.45
21,429.8699,425.75266,431.39923,426.33566,602.5041,1184.5433,127.04
22,430.077,425.2894,431.44287,426.07507,603.21643,1184.2375,127.02
23,429.66696,425.25177,431.51608,425.75342,603.75854,1183.2946,126.65
24,430.6063,425.10995,432.0693,425.82083,603.80994,1182.68,127.05
25,430.12756,424.58624,431.74207,425.36948,604.78784,1182.5637,127.08
26,430.8417,424.66852,432.3695,425.2982,605.13324,1181.7106,127.92
27,430.77893,424.6016,432.5031,425.40274,604.8967,1181.5248,126.64
28,430.6852,424.4808,432.60287,425.31125,605.2074,1181.5038,125.82
29,430.9215,424.12317,432.6353,425.0049,605.9659,1181.0332,122.07
30,431.03732,423.39664,433.0722,424.4305,607.3215,1179.3877,117.39
31,430.37845,423.95645,432.53854,424.92554,606.27563,1181.3398,119.18
32,430.56598,424.18683,432.95303,425.01373,606.0762,1180.6304,119.86
33,429.98804,424.40024,432.00638,425.30078,605.13293,1182.462,117.87
34,430.7508,424.0753,432.78714,424.90186,606.21454,1180.5125,118.43
35,430.54324,423.87848,432.96683,424.68915,606.8118,1180.2311,118.11
36,430.22055,423.79892,432.69,424.8755,606.3743,1181.1543,119.17
37,430.59937,424.33868,432.86356,424.9247,606.37366,1180.959,119.22
38,430.10358,424.08185,432.7607,424.71024,606.6811,1180.4716,118.31
39,430.61002,423.33994,433.31332,424.34286,607.5611,1179.1208,117.92
40,430.79077,423.46118,433.29724,424.2794,607.91895,1179.3549,119.44
41,430.60416,423.21564,433.46674,424.2253,608.10333,1179.0813,119.79
42,430.71384,423.3282,433.23746,424.03525,608.62506,1179.2483,119.58
43,431.02835,422.70413,433.87637,423.93448,608.82574,1178.0619,119.43
44,430.53284,422.40955,433.7189,423.65094,609.6933,1178.3835,117.65
45,431.65305,422.3358,434.26886,423.16788,611.126,1177.1051,117.63
46,431.49298,422.1179,434.69913,422.97336,611.4852,1175.9637,119.83
47,431.53268,421.90854,434.79605,422.9496,611.6131,1175.6858,120.91
48,431.53723,421.77487,435.0095,422.766,612.01807,1175.0868,119.48
49,431.3793,421.21295,435.5748,422.29175,613.3684,1173.9425,119.22
50,431.12085,420.94907,435.29883,422.19305,613.63007,1174.5359,119.99
51,431.28723,421.2226,435.46725,422.29044,613.4582,1174.223,118.01
52,431.92987,420.53357,436.064,421.7263,615.2208,1173.2985,118.98
53,432.13608,419.9183,436.2332,421.21753,616.2235,1171.8044,119.12
54,432.57385,419.11,437.2217,420.54596,618.03827,1169.6339,120.17
55,432.39212,419.23557,437.1151,420.5736,618.5295,1170.5686,118.07
56,432.0853,419.7223,436.7149,420.82217,617.7279,1171.5203,117.09
57,432.53397,418.99744,436.79724,420.44943,618.6551,1170.9352,117.77
58,432.40988,418.55502,437.6985,419.813,620.3326,1168.8599,120.8
59,432.22632,418.1847,437.688,419.65805,621.1541,1169.7356,118.44
60,432.3669,418.8034,437.56146,419.85236,620.36346,1169.517,117.99
61,432.25192,418.23102,437.71097,419.7096,620.8889,1169.0936,122.87
62,432.55444,417.982,438.326,419.20547,622.0839,1167.3978,118.74
63,433.0387,417.45532,438.54153,418.91614,623.3657,1167.6764,118.09
64,432.48813,417.16187,438.8854,418.95367,622.9739,1166.7614,118.97
65,433.02045,416.90506,438.75854,418.62164,624.27954,1167.1592,117.77
66,433.22507,416.4781,439.37332,418.2822,624.6895,1165.2462,117.36
67,432.94547,416.18195,439.48593,418.05875,625.4477,1165.0156,118.5
68,433.30887,415.364,439.86804,417.5507,626.7553,1164.183,119.21
69,433.28754,416.2759,439.461,418.23596,625.27405,1165.7993,117.96
70,433.36893,415.92535,440.1446,417.89584,626.1384,1164.3036,119.0
71,433.01785,416.05383,439.98953,417.63715,626.9037,1164.2996,117.51
72,432.82184,415.58087,439.93845,417.4622,627.21857,1164.0724,117.76
73,433.59793,414.77106,440.91745,416.68442,629.3116,1161.5626,117.84
74,432.92087,415.47012,440.0942,417.33304,627.597,1163.7999,117.82
75,433.12048,414.70776,441.01077,416.58902,629.74854,1161.8694,119.79
76,433.90826,414.45007,441.54947,416.23663,630.6797,1160.7236,118.62
77,433.34885,414.77344,440.935,416.6144,629.5513,1162.1963,118.43
78,433.8706,413.79544,441.9387,415.95737,631.4809,1159.7573,118.0
79,433.26117,414.24478,441.68454,416.0882,631.0398,1160.6769,117.88
80,433.23203,414.07883,441.11755,416.4314,630.6182,1162.3481,117.65
81,434.52008,413.67825,442.25064,415.78714,632.50543,1160.0215,116.51
82,434.4101,413.0597,442.5097,415.06705,633.9449,1157.9647,118.95
83,434.04886,413.1882,442.39578,415.11044,634.3487,1159.1399,120.09
84,433.98865,413.54642,442.0902,415.50046,632.92834,1159.5156,116.66
85,434.33246,412.899,442.49454,414.98074,634.26654,1158.5986,117.93
86,434.23843,412.94284,443.00525,415.03064,634.5836,1158.0089,118.62
87,433.859,412.1847,443.19266,414.34924,636.3787,1157.2333,118.94
88,435.33023,412.3641,443.6799,414.53275,635.8874,1156.8676,118.86
89,434.74652,411.56158,443.76434,414.10782,637.51294,1156.5343,117.45
90,433.58853,411.5837,442.71982,414.26868,636.4639,1158.2081,118.12
91,435.06342,411.6923,444.02322,413.67987,638.283,1155.3018,119.38
92,434.01782,411.3538,443.45657,414.26266,636.5253,1156.8555,118.07
93,434.33383,411.6003,443.60324,414.28348,636.76154,1157.3225,118.8
94,435.32278,410.79465,444.9255,412.81055,640.66565,1152.6313,116.64
95,435.11072,411.0565,444.84113,412.97324,640.2848,1153.6309,118.58
96,435.3487,410.9325,444.65198,413.27295,639.5861,1154.1672,119.59
97,435.1792,410.5354,444.6341,412.96564,640.35425,1153.9639,119.5
98,434.92136,410.4055,444.505,413.05896,640.52747,1155.0665,117.91
99,436.52844,409.72955,445.99432,411.9557,643.08966,1150.2825,117.53
100,434.98126,410.02762,445.3461,412.09976,642.81775,1152.02,119.12
101,435.47244,408.85162,445.90964,411.65408,644.0459,1150.9425,117.57
102,435.2433,408.47272,446.51566,411.35205,644.815,1149.8054,117.34
103,435.54666,408.9339,446.0664,411.62997,644.3574,1151.1184,120.23
104,436.13168,408.6364,446.79575,411.13702,645.4201,1149.2091,119.46
105,435.43585,407.29065,447.27618,410.58652,647.03204,1148.5117,117.58
106,435.15515,408.28983,446.51562,411.09866,645.9445,1150.4623,118.79
107,435.6884,409.04227,446.4302,411.37268,645.32794,1150.5352,119.66
108,436.42795,407.7791,447.0898,411.01016,646.0023,1149.004,118.72
109,435.80466,407.66815,446.99466,410.57455,647.8781,1149.5004,118.23
110,436.1606,409.0389,446.83206,411.26224,645.71454,1150.3821,118.27
111,436.20245,407.20175,447.937,409.9221,649.4087,1146.556,117.16
112,436.02313,407.79843,447.48138,410.17285,648.53424,1148.0594,119.33
113,435.5388,407.58334,447.3112,410.2828,648.5039,1148.4159,118.74
114,436.2598,405.40985,448.57452,409.2418,651.03876,1145.6561,116.86
115,435.8448,407.22754,447.20715,410.65686,647.5465,1150.0248,119.74
116,436.5813,407.34375,447.95377,409.86517,649.5866,1146.994,118.69
117,436.77707,405.93094,448.85852,409.23633,651.5055,1145.2928,119.34
118,436.34857,407.04495,447.23846,410.4368,648.61816,1150.0614,117.34
119,436.34055,406.37112,448.4444,409.1931,651.1328,1145.0603,119.41
120,436.3475,405.30124,448.9158,408.7206,652.63586,1144.1655,119.51
121,436.50607,406.0023,448.68124,408.98883,652.2186,1145.467,117.68
122,438.48438,406.01135,449.70486,408.57822,653.4583,1143.5345,118.02
123,436.7789,405.17783,449.63925,407.99896,654.68274,1142.9758,118.81
124,437.2371,404.22977,449.88315,407.74686,655.23596,1141.9843,119.79
125,437.10648,405.21472,449.85843,407.93488,655.0412,1142.7058,117.03
126,437.3833,404.81287,449.81628,408.1351,655.3937,1144.6456,118.09
127,437.76624,404.5229,449.82205,407.82623,655.59265,1142.4447,117.94
128,437.6478,404.68027,450.32523,407.6967,656.0269,1142.1692,117.67
129,436.1202,404.99487,448.60117,409.20694,651.87604,1147.1597,117.44
130,437.0173,405.2239,449.53574,408.1737,654.4142,1142.7842,118.61
131,438.9698,403.12918,451.4849,406.65146,658.9659,1139.0631,119.37
132,438.47635,402.9927,450.76727,406.93512,658.39435,1140.7814,118.53
133,437.92532,403.3029,451.26562,406.57285,659.0859,1139.6434,119.37
