epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,561.27716,335.36026,550.313,338.60953,999.76117,921.61725,156.97
1,448.8921,393.63788,451.79416,396.30045,688.3023,1122.6998,152.18
2,439.17065,407.9387,445.5449,410.49997,647.7851,1151.3127,152.21
3,432.71405,416.07526,437.19156,417.8082,625.83167,1169.9462,153.13
4,429.62326,418.32242,433.80765,420.19095,618.3951,1176.5314,157.43
5,430.05728,420.37372,433.5636,422.26407,613.51965,1179.2335,151.93
6,429.4876,420.42273,433.41757,422.2809,613.32635,1179.3052,152.7
7,429.48428,420.3262,433.36395,422.44156,612.9015,1178.9099,151.73
8,429.9878,421.42004,433.60602,423.01663,611.533,1179.619,152.77
9,429.14474,420.67175,432.7927,422.71243,611.8716,1179.7902,148.88
10,429.0372,420.38666,432.4177,422.09427,613.36096,1180.0566,145.44
11,429.20676,421.22253,432.88416,423.13422,611.0072,1179.95,144.59
12,428.48953,420.09146,432.17578,422.34625,612.7576,1180.6663,142.79
13,429.34183,420.75256,433.1462,422.86584,611.7971,1179.5728,145.12
14,428.66812,421.20422,432.68872,423.33255,610.474,1180.6472,143.83
15,429.2195,420.01514,433.63733,422.42688,613.1362,1179.1636,144.36
16,429.05438,419.62363,433.9675,421.77417,614.8208,1177.6337,144.58
17,429.53345,419.39185,434.93314,421.66626,615.68335,1176.4396,146.06
18,430.3352,418.92053,436.4642,421.6401,616.27954,1174.7448,145.17
19,431.02167,418.16956,438.0577,421.0063,618.176,1171.8704,144.01
20,430.38608,415.60092,439.03476,419.16296,623.3007,1169.2036,144.76
21,430.62784,414.60162,440.26862,417.9322,626.7225,1166.2562,143.32
22,430.54214,413.69577,441.42236,417.41675,628.27954,1164.6078,142.65
23,430.53864,411.63358,441.85916,416.15198,631.52997,1162.6826,142.04
24,430.26816,412.03073,441.49063,416.05313,631.6698,1163.0579,146.07
25,430.12317,412.10837,441.81076,416.1241,631.80286,1163.0885,141.97
26,432.54428,409.1772,445.30365,414.02338,638.4704,1156.2943,143.91
27,430.87064,410.5254,443.99142,415.00504,635.5224,1159.4006,154.69
28,431.14127,407.13504,445.23032,411.95847,643.9003,1154.1486,147.39
29,433.00473,406.1887,447.17612,411.17517,646.44415,1151.3289,144.85
30,430.84433,406.4304,446.83405,410.94363,646.5525,1151.195,143.02
31,432.8014,403.9408,449.47162,409.10135,652.2117,1145.7654,145.69
32,431.61932,404.4046,448.9997,409.6391,650.7439,1147.5879,145.03
33,431.86633,402.8241,451.16516,408.00763,655.36194,1143.2821,143.15
34,431.7816,400.58514,451.4923,406.29245,660.28217,1141.1487,144.21
35,431.8963,398.75116,453.07428,405.66534,662.45575,1139.1028,144.45
36,430.8837,399.73132,452.46872,405.6332,662.033,1140.3235,147.34
37,432.40146,396.8942,454.13892,404.06042,666.30664,1136.4009,142.3
38,431.727,397.36365,454.33502,404.17316,665.9617,1135.9036,144.4
39,431.7665,397.7825,455.01962,403.7025,667.57385,1134.0704,144.67
40,430.93527,397.53217,453.23325,404.54443,664.675,1138.2155,143.23
41,432.59943,395.32977,457.1983,402.10956,672.937,1130.8085,143.92
42,430.44598,396.6685,455.19196,402.83887,669.9335,1134.0005,144.72
43,430.89862,395.971,457.92606,402.35706,671.6688,1129.5204,142.59
44,432.0483,393.63834,457.75134,401.31635,674.7861,1129.94,144.55
