epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,548.8579,345.75275,542.5433,352.16632,973.107,964.98834,175.88
1,437.07272,408.88187,440.6827,411.01508,644.15967,1158.2627,172.61
2,434.7916,414.34918,441.49265,416.33002,631.26776,1164.2433,171.68
3,433.4583,414.42844,441.21094,417.1401,628.56604,1165.5859,176.52
4,432.71747,414.7506,440.53833,418.13535,625.906,1168.6191,171.67
5,432.7203,411.649,441.29214,415.16525,633.52527,1164.1393,172.11
6,430.37726,415.96103,437.8121,419.28848,622.15344,1173.0526,171.71
7,429.377,417.3706,436.20135,421.23343,616.69543,1177.3086,171.87
8,428.5975,417.77502,435.4816,421.26477,616.18805,1176.97,171.54
9,430.91858,418.23572,436.62134,421.11288,617.33685,1175.6143,171.25
10,430.3048,418.4487,437.3533,421.42776,617.0799,1175.2577,171.15
11,430.07166,416.77094,437.1949,419.94376,620.7912,1173.8113,175.74
12,430.10184,416.5495,436.79733,419.5435,622.13165,1174.1938,169.88
13,429.50748,415.98584,436.93057,419.25256,622.43756,1173.0151,170.22
14,429.3187,416.48172,436.60495,419.65662,621.6584,1175.7996,171.32
15,430.08698,416.4631,437.86084,419.8467,621.2145,1172.9976,170.58
16,429.4941,415.3725,438.04144,419.66208,621.73254,1172.2089,171.45
17,428.81787,416.79727,436.35794,420.11737,620.2641,1174.9392,170.96
18,430.39023,415.55356,439.18542,419.0592,624.09357,1171.0001,170.59
19,428.82587,414.73282,437.5742,418.4125,625.0044,1171.6858,165.06
20,429.38943,414.0357,439.4479,417.86322,627.126,1169.1504,164.04
21,429.64203,413.3363,441.6586,417.25046,629.1588,1166.2058,163.43
22,428.96707,412.08002,439.9513,415.93948,632.1657,1166.7854,163.93
23,430.78857,414.87106,440.76947,418.16934,626.8317,1168.6062,175.36
24,431.61566,413.38416,441.84195,416.493,631.63556,1165.4381,164.79
25,429.5304,412.28586,441.27438,415.50858,634.12177,1164.8756,164.31
26,430.25812,410.5441,443.06058,414.23282,637.6109,1161.5782,165.06
27,431.57852,410.50314,444.17648,414.24292,638.62994,1160.533,164.52
28,432.41495,406.25992,446.59256,410.98645,646.81085,1153.6404,164.69
29,431.13348,409.0247,445.212,413.62195,640.27356,1159.4332,167.99
30,432.5156,407.8848,447.18158,412.2146,644.3833,1155.0604,175.05
31,432.68564,408.0853,446.83673,412.16367,644.8079,1156.0725,174.87
32,432.69736,405.96252,447.78967,410.76282,648.168,1153.2642,173.45
33,433.6497,405.37634,449.46994,409.5475,652.6841,1150.8329,173.67
34,432.91684,404.64236,450.67206,409.00662,654.1215,1148.9932,171.57
35,433.98114,400.2739,453.14517,405.75354,664.1423,1142.3628,172.75
36,432.83905,402.7123,451.78778,407.35565,658.9381,1146.7666,172.48
37,433.18262,401.09473,451.80548,406.63315,660.56146,1145.5453,172.45
38,432.11996,401.87323,451.54373,407.4339,657.8839,1145.331,175.22
39,431.4129,401.85208,451.44446,406.8923,659.5071,1145.0847,178.54
40,430.1838,402.2734,449.08817,407.43106,657.23395,1149.4767,173.25
41,430.84674,402.82953,451.16248,408.1926,655.53613,1146.9521,172.36
42,430.4641,401.35068,452.25958,406.29007,661.061,1143.8733,172.6
43,430.0319,399.88193,452.29724,405.52567,662.7335,1143.0618,173.17
44,430.17505,398.1524,453.0963,404.53455,665.7925,1141.3234,169.86
45,431.5064,399.45956,453.72726,405.32907,663.5317,1141.0963,169.58
46,430.48486,398.73013,454.34744,404.48343,665.899,1138.373,166.95
47,431.64093,398.9671,455.773,404.26593,666.99115,1137.6273,170.81
48,430.96783,397.21048,454.47028,402.85107,670.6147,1137.3918,174.94
49,429.32104,396.7171,454.4364,402.82812,670.2122,1137.6228,170.31
50,429.49332,397.3468,455.04816,402.9843,669.20966,1136.1658,171.09
51,430.016,399.0423,455.1671,405.13693,663.65564,1138.556,171.17
