epoch_id,median_real,median_fake,mean_real,mean_fake,gen_loss,disc_loss,time
0,528.6483,365.0074,523.44763,366.67474,902.49347,1024.5067,232.64
1,500.77826,351.77966,498.4912,355.44968,866.5274,1036.8907,228.74
2,535.3696,324.792,526.1988,330.7582,981.60077,980.60077,235.82
3,552.36584,304.49127,541.37933,315.24216,1031.07,941.34326,223.94
4,550.8166,306.82788,540.86273,318.07965,1011.31775,945.0955,227.24
5,532.353,317.20276,526.53406,330.31802,958.45044,979.69403,222.53
6,552.1516,300.9443,540.97455,316.07632,1014.76416,945.19763,221.13
7,576.1251,282.1526,556.1491,301.73373,1074.8805,907.9724,219.7
8,573.7283,281.75064,556.8749,300.0795,1073.4026,904.65,219.35
9,581.6522,273.04337,562.706,294.4209,1109.3773,889.46185,221.7
10,588.70544,267.4369,566.22626,289.29288,1133.0807,881.9357,221.0
11,605.4187,255.14714,577.4345,280.00812,1168.4775,855.4105,221.73
12,598.9008,259.23288,573.33435,284.23035,1160.0591,867.6186,218.35
13,611.3326,249.18396,580.99976,276.32986,1203.2401,844.0178,220.8
14,627.0218,239.55807,590.6695,267.06625,1260.1649,823.0663,222.41
15,613.8726,248.64621,582.3037,275.36432,1207.8734,845.241,222.21
16,608.2312,252.23146,578.9599,278.47406,1189.8955,852.5069,220.04
17,611.42847,252.28831,581.29,276.97687,1195.5488,848.4438,219.99
18,597.2924,260.1047,573.32007,285.03326,1156.4413,867.9026,221.31
19,616.68915,246.39833,584.93164,273.17032,1218.3873,837.525,222.23
20,617.3627,246.80997,584.7055,272.97006,1210.4076,834.4351,220.64
21,616.46545,244.5069,585.691,272.4995,1213.2805,834.2877,219.79
22,612.5141,246.06038,582.5061,273.8826,1217.7509,845.1157,241.18
23,609.3843,249.60567,581.42267,276.09335,1199.0746,843.27814,238.81
24,628.594,236.45659,592.11926,265.37067,1263.349,820.61115,232.23
25,615.611,243.91968,584.2309,272.91187,1224.1664,840.27246,234.84
26,619.0411,245.75096,586.0106,273.05618,1217.586,835.30316,232.66
27,613.8589,246.77213,582.3616,274.17856,1203.7936,840.8875,229.33
28,614.9769,248.31978,584.0606,275.09088,1202.5184,842.8013,221.95
29,604.3419,254.51427,577.5604,279.65176,1183.958,853.8813,224.52
30,593.0284,260.2213,572.21924,285.40457,1148.4667,868.5348,227.51
31,578.32184,270.71985,562.7628,294.80127,1099.8938,892.45264,228.59
32,584.8907,267.6581,566.1829,291.86478,1119.7573,888.797,240.34
33,589.2101,262.77005,570.453,286.49457,1150.2474,870.0319,242.13
34,598.05145,256.6759,574.5828,283.6054,1161.9734,862.8063,234.07
35,601.5059,252.71321,576.54095,280.1875,1177.8625,854.4098,234.05
